COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
31.000000,4416.410256,0.000000,0.000000,0.000000,5245.641026,0.000000,4493.333333,0.000000,0.000000,4458.974359,0.000000,0.000000,0.000000,4400.512821,8191.000000,8191.000000,14.499953,0.000000,0.000000,0.000000,0.000000,
32.000000,4382.564103,0.000000,0.000000,0.000000,5208.717949,0.000000,4490.256410,0.000000,0.000000,4447.692308,0.000000,0.000000,0.000000,4417.435897,8191.000000,8191.000000,14.507769,0.000000,0.000000,0.000000,0.000000,
33.000000,4397.948718,0.000000,0.000000,0.000000,5197.948718,0.000000,4501.025641,0.000000,0.000000,4456.410256,0.000000,0.000000,0.000000,4419.487179,8191.000000,8191.000000,14.515585,0.000000,0.000000,0.000000,0.000000,
34.000000,4432.820513,0.000000,0.000000,0.000000,5184.615385,0.000000,4500.000000,0.000000,0.000000,4463.076923,0.000000,0.000000,0.000000,4400.512821,8112.000000,8434.000000,14.523401,0.000000,0.000000,0.000000,0.000000,
35.000000,4431.794872,0.000000,0.000000,0.000000,5158.461538,0.000000,4496.410256,0.000000,0.000000,4457.435897,0.000000,0.000000,0.000000,4398.461538,8126.000000,8428.000000,14.531217,0.000000,0.000000,0.000000,0.000000,
36.000000,4420.512821,0.000000,0.000000,0.000000,5151.794872,0.000000,4520.000000,0.000000,0.000000,4442.051282,0.000000,0.000000,0.000000,4396.410256,8146.000000,8438.000000,14.539034,0.000000,0.000000,0.000000,0.000000,
37.000000,4406.153846,0.000000,0.000000,0.000000,5156.410256,0.000000,4569.743590,0.000000,0.000000,4484.102564,0.000000,0.000000,0.000000,4418.461538,8201.000000,8420.000000,14.546850,0.000000,0.000000,0.000000,0.000000,
38.000000,4433.333333,0.000000,0.000000,0.000000,5101.025641,0.000000,4438.461538,0.000000,0.000000,4510.769231,0.000000,0.000000,0.000000,4455.897436,8227.000000,8412.000000,14.554666,0.000000,0.000000,0.000000,0.000000,
39.000000,4432.307692,0.000000,0.000000,0.000000,5115.897436,0.000000,4533.846154,0.000000,0.000000,4393.846154,0.000000,0.000000,0.000000,4412.307692,8253.000000,8403.000000,14.562482,0.000000,0.000000,0.000000,0.000000,
40.000000,4331.794872,0.000000,0.000000,0.000000,5135.897436,0.000000,4708.717949,0.000000,0.000000,4547.692308,0.000000,0.000000,0.000000,4422.564103,8298.000000,8372.000000,14.570298,0.000000,0.000000,0.000000,0.000000,
41.000000,4524.102564,0.000000,0.000000,0.000000,4866.666667,0.000000,4047.179487,0.000000,0.000000,4634.871795,0.000000,0.000000,0.000000,4568.717949,8313.000000,8359.000000,14.578114,0.000000,0.000000,0.000000,0.000000,
42.000000,4561.025641,0.000000,0.000000,0.000000,4613.333333,0.000000,3806.153846,0.000000,0.000000,4282.564103,0.000000,0.000000,0.000000,4441.025641,8329.000000,8326.000000,14.585931,0.000000,0.000000,0.000000,0.000000,
43.000000,4289.743590,0.000000,0.000000,0.000000,4726.153846,0.000000,4366.153846,0.000000,0.000000,4132.307692,0.000000,0.000000,0.000000,4229.743590,8329.000000,8321.000000,14.593747,0.000000,0.000000,0.000000,0.000000,
44.000000,4171.282051,0.000000,0.000000,0.000000,4860.000000,0.000000,4605.641026,0.000000,0.000000,4308.717949,0.000000,0.000000,0.000000,4228.717949,8313.000000,8324.000000,14.601563,0.000000,0.000000,0.000000,0.000000,
45.000000,4342.051282,0.000000,0.000000,0.000000,4801.025641,0.000000,4269.743590,0.000000,0.000000,4361.025641,0.000000,0.000000,0.000000,4328.717949,8298.000000,8339.000000,14.609379,0.000000,0.000000,0.000000,0.000000,
46.000000,4325.641026,0.000000,0.000000,0.000000,4780.000000,0.000000,4371.794872,0.000000,0.000000,4236.410256,0.000000,0.000000,0.000000,4284.102564,8282.000000,8354.000000,14.617195,0.000000,0.000000,0.000000,0.000000,
47.000000,4222.564103,0.000000,0.000000,0.000000,4810.256410,0.000000,4485.128205,0.000000,0.000000,4325.128205,0.000000,0.000000,0.000000,4298.461538,8264.000000,8387.000000,14.625011,0.000000,0.000000,0.000000,0.000000,
48.000000,4293.333333,0.000000,0.000000,0.000000,4796.410256,0.000000,4361.025641,0.000000,0.000000,4297.435897,0.000000,0.000000,0.000000,4317.435897,8247.000000,8409.000000,14.632828,0.000000,0.000000,0.000000,0.000000,
49.000000,4280.512821,0.000000,0.000000,0.000000,4812.820513,0.000000,4421.538462,0.000000,0.000000,4294.871795,0.000000,0.000000,0.000000,4288.717949,8238.000000,8428.000000,14.640644,0.000000,0.000000,0.000000,0.000000,
50.000000,4290.769231,0.000000,0.000000,0.000000,4803.589744,0.000000,4389.230769,0.000000,0.000000,4306.666667,0.000000,0.000000,0.000000,4298.974359,8239.000000,8431.000000,14.648460,0.000000,0.000000,0.000000,0.000000,
51.000000,4290.769231,0.000000,0.000000,0.000000,4787.692308,0.000000,4387.692308,0.000000,0.000000,4278.974359,0.000000,0.000000,0.000000,4284.615385,8248.000000,8435.000000,14.656276,0.000000,0.000000,0.000000,0.000000,
52.000000,4281.025641,0.000000,0.000000,0.000000,4807.692308,0.000000,4393.333333,0.000000,0.000000,4286.666667,0.000000,0.000000,0.000000,4271.794872,8263.000000,8431.000000,14.664092,0.000000,0.000000,0.000000,0.000000,
53.000000,4277.948718,0.000000,0.000000,0.000000,4810.769231,0.000000,4380.000000,0.000000,0.000000,4273.333333,0.000000,0.000000,0.000000,4273.846154,8299.000000,8419.000000,14.671908,0.000000,0.000000,0.000000,0.000000,
54.000000,4265.641026,0.000000,0.000000,0.000000,4794.871795,0.000000,4390.769231,0.000000,0.000000,4276.923077,0.000000,0.000000,0.000000,4278.461538,8317.000000,8410.000000,14.679725,0.000000,0.000000,0.000000,0.000000,
55.000000,4254.358974,0.000000,0.000000,0.000000,4790.769231,0.000000,4386.153846,0.000000,0.000000,4287.179487,0.000000,0.000000,0.000000,4264.102564,8326.000000,8396.000000,14.687541,0.000000,0.000000,0.000000,0.000000,
56.000000,4239.487179,0.000000,0.000000,0.000000,4805.641026,0.000000,4391.794872,0.000000,0.000000,4278.461538,0.000000,0.000000,0.000000,4255.384615,8321.000000,8367.000000,14.695357,0.000000,0.000000,0.000000,0.000000,
57.000000,4249.230769,0.000000,0.000000,0.000000,4807.179487,0.000000,4378.461538,0.000000,0.000000,4263.589744,0.000000,0.000000,0.000000,4269.230769,8316.000000,8359.000000,14.703173,0.000000,0.000000,0.000000,0.000000,
58.000000,4260.000000,0.000000,0.000000,0.000000,4794.871795,0.000000,4373.333333,0.000000,0.000000,4247.692308,0.000000,0.000000,0.000000,4255.897436,8305.000000,8317.000000,14.710989,0.000000,0.000000,0.000000,0.000000,
59.000000,4272.307692,0.000000,0.000000,0.000000,4794.358974,0.000000,4379.487179,0.000000,0.000000,4251.794872,0.000000,0.000000,0.000000,4237.435897,8295.000000,8304.000000,14.718805,0.000000,0.000000,0.000000,0.000000,
60.000000,4289.743590,0.000000,0.000000,0.000000,4801.025641,0.000000,4394.871795,0.000000,0.000000,4276.410256,0.000000,0.000000,0.000000,4267.692308,8283.000000,8289.000000,14.726622,0.000000,0.000000,0.000000,0.000000,
61.000000,4265.641026,0.000000,0.000000,0.000000,4798.461538,0.000000,4392.307692,0.000000,0.000000,4284.615385,0.000000,0.000000,0.000000,4276.410256,8276.000000,8284.000000,14.734438,0.000000,0.000000,0.000000,0.000000,
62.000000,4256.410256,0.000000,0.000000,0.000000,4798.974359,0.000000,4389.230769,0.000000,0.000000,4264.615385,0.000000,0.000000,0.000000,4265.128205,8279.000000,8292.000000,14.742254,0.000000,0.000000,0.000000,0.000000,
63.000000,4279.487179,0.000000,0.000000,0.000000,4795.897436,0.000000,4397.435897,0.000000,0.000000,4274.358974,0.000000,0.000000,0.000000,4275.384615,8274.000000,8309.000000,14.750070,0.000000,0.000000,0.000000,0.000000,
64.000000,4298.461538,0.000000,0.000000,0.000000,4776.923077,0.000000,4386.153846,0.000000,0.000000,4283.076923,0.000000,0.000000,0.000000,4288.717949,8275.000000,8311.000000,14.757886,0.000000,0.000000,0.000000,0.000000,
65.000000,4294.358974,0.000000,0.000000,0.000000,4784.615385,0.000000,4383.589744,0.000000,0.000000,4280.000000,0.000000,0.000000,0.000000,4286.666667,8270.000000,8317.000000,14.765702,0.000000,0.000000,0.000000,0.000000,
